,公司名称,月份,得分,折让系数
207,贵州新港海之辇,2025年4月,86.55,0.87
208,贵州新港海之辇,2025年5月,91.93,1.0
209,贵州新港海之辇,2025年6月,84.82,0.85
210,贵州新港海之辇,2025年7月,91.64,1.0
211,贵州新港海之辇,2025年8月,89.67,0.9
212,贵州新港海之辇,2025年9月,94.17,1.0
213,贵州新港海之辇,2025年10月,89.5,0.89
214,贵州新港海之辇,2025年11月,86.36,0.86
215,贵州新港海之辇,2025年12月,86.36,0.86
216,贵州新港澜源,2025年1月,58.88,0.0
217,贵州新港澜源,2025年2月,77.74,0.78
218,贵州新港澜源,2025年3月,87.5,0.88
219,贵州新港澜源,2025年4月,86.69,0.87
220,贵州新港澜源,2025年5月,72.75,0.73
221,贵州新港澜源,2025年6月,73.57,0.74
222,贵州新港澜源,2025年7月,74.67,0.75
223,贵州新港澜源,2025年8月,75.11,0.75
224,贵州新港澜源,2025年9月,75.6,0.76
225,贵州新港澜源,2025年10月,84.32,0.84
226,贵州新港澜源,2025年11月,83.41,0.83
227,贵州新港澜源,2025年12月,86.41,0.86
228,贵州新港蔚蓝,2025年1月,68.06,0.0
229,贵州新港蔚蓝,2025年2月,83.89,0.84
230,贵州新港蔚蓝,2025年3月,85.66,0.86
231,贵州新港蔚蓝,2025年4月,75.91,0.76
232,贵州新港蔚蓝,2025年5月,89.48,0.89
233,贵州新港蔚蓝,2025年6月,73.45,0.73
234,贵州新港蔚蓝,2025年7月,90.62,1.0
235,贵州新港蔚蓝,2025年8月,93.62,1.0
236,贵州新港蔚蓝,2025年9月,90.5,1.0
237,贵州新港蔚蓝,2025年10月,91.92,1.0
238,贵州新港蔚蓝,2025年11月,89.3,0.89
239,贵州新港蔚蓝,2025年12月,97.23,1.0
240,鑫港鲲鹏,2025年1月,58.39,0.0
241,鑫港鲲鹏,2025年2月,73.14,0.73
242,鑫港鲲鹏,2025年3月,61.82,0.0
243,鑫港鲲鹏,2025年4月,60.66,0.0
244,鑫港鲲鹏,2025年5月,77.88,0.78
245,鑫港鲲鹏,2025年6月,79.16,0.79
246,鑫港鲲鹏,2025年7月,82.0,0.82
247,鑫港鲲鹏,2025年8月,78.1,0.78
248,鑫港鲲鹏,2025年9月,80.74,0.81
249,鑫港鲲鹏,2025年10月,85.23,0.85
250,鑫港鲲鹏,2025年11月,85.94,0.86
251,鑫港鲲鹏,2025年12月,79.32,0.79
